subject,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total,signal_group
605,4,overlapping,68.4009191124041,5.420201467376646,31,31,6
605,5,non_overlapping,68.67827262536315,5.9531325324780555,12,12,6
605,5,overlapping,68.70076325733653,5.251616048624414,24,24,6
606,3,non_overlapping,69.84055708932557,5.646868274065908,21,21,6
606,3,overlapping,69.42038897463624,5.374395666004347,41,41,6
606,4,non_overlapping,70.23987542629783,5.921020005395177,16,16,6
606,4,overlapping,70.04335165514254,5.4583548003970055,31,31,6
606,5,non_overlapping,70.50682234432234,5.029939468453453,12,12,6
606,5,overlapping,70.2099077407267,4.894842687673294,24,24,6
701,3,non_overlapping,125.8060661143368,4.030751829473492,21,21,7
701,3,overlapping,126.00457629661737,4.415429551045319,41,41,7
701,4,non_overlapping,125.79603725691601,3.276865144728184,16,16,7
701,4,overlapping,125.47859557674923,3.0148916208895638,31,31,7
701,5,non_overlapping,125.38177173703487,2.6200579182671437,12,12,7
701,5,overlapping,125.55784566310881,3.0799086116730816,24,24,7
702,3,non_overlapping,133.15913083080602,7.886773953480136,23,23,7
702,3,overlapping,134.05128482628479,7.727834784664953,45,45,7
702,4,non_overlapping,134.1811848145264,6.745826850425986,17,17,7
702,4,overlapping,134.47466240151493,6.7631922070317705,33,33,7
702,5,non_overlapping,134.0670175241596,6.613715064448609,13,13,7
702,5,overlapping,134.56448545969317,6.721274970151378,26,26,7
703,3,non_overlapping,127.17316017316016,5.210597648416826,24,24,7
703,3,overlapping,126.97382825507823,4.989059139862023,48,48,7
703,4,non_overlapping,127.27222182579322,5.024211644985989,18,18,7
703,4,overlapping,127.33507563864707,4.991717487366351,36,36,7
703,5,non_overlapping,127.45178630892917,4.623211448705369,14,14,7
703,5,overlapping,127.35119047619047,4.80507741640968,28,28,7
704,3,non_overlapping,126.48780906593406,6.628673254339367,24,24,7
704,3,overlapping,126.29487179487178,6.689988773921644,48,48,7
704,4,non_overlapping,126.70076946862658,6.067202759382672,18,18,7
704,4,overlapping,126.40368890368887,6.412829640688171,36,36,7
704,5,non_overlapping,126.64852706816991,5.89869243812537,14,14,7
704,5,overlapping,126.78449675324676,5.869378762425536,28,28,7
705,3,non_overlapping,131.8935777108046,5.323169775477187,21,21,7
705,3,overlapping,131.78417421889446,5.754946156479182,41,41,7
705,4,non_overlapping,131.59106059381793,5.666111463241625,16,16,7
705,4,overlapping,131.5263073704555,5.501076067424936,31,31,7
705,5,non_overlapping,132.13962344844694,4.578641192322186,12,12,7
705,5,overlapping,131.8811700962436,4.873771953250434,24,24,7
706,3,non_overlapping,132.25815454386878,4.469695876063549,21,21,7
706,3,overlapping,132.61949432681138,4.503521818552724,41,41,7
706,4,non_overlapping,132.23005788854002,4.103362259868803,16,16,7
706,4,overlapping,132.4260014179369,3.9178931482178387,31,31,7
706,5,non_overlapping,133.18589743589743,2.8349112866310566,12,12,7
706,5,overlapping,132.6561355311355,3.4952460339923244,24,24,7
801,3,non_overlapping,46.311370856979856,2.0153240118223232,21,21,8
801,3,overlapping,46.26187584624301,2.1624804855231075,41,41,8
801,4,non_overlapping,46.3020480774164,2.16729730953633,16,16,8
801,4,overlapping,46.271118130589244,2.0447132279152833,31,31,8
801,5,non_overlapping,46.777591589933216,1.2570444900999775,12,12,8
801,5,overlapping,46.320669380858924,1.700076121324272,24,24,8
802,3,non_overlapping,67.98533406689276,22.276075939770834,21,21,8
802,3,overlapping,68.32846817529179,21.108681215178184,41,41,8
802,4,non_overlapping,68.4389706202339,20.02137268137306,16,16,8
802,4,overlapping,69.07350987037623,19.717627943276852,31,31,8
802,5,non_overlapping,69.79231129735432,19.64473734079589,12,12,8
802,5,overlapping,68.73391812796213,17.580682807134394,24,24,8
803,3,non_overlapping,52.329317651250705,11.595931334500328,24,24,8
803,3,overlapping,51.82534379854425,10.334279858365873,48,48,8
803,4,non_overlapping,49.71086542745469,2.673386700082148,18,18,8
803,4,overlapping,50.98083679852901,6.925392639297672,36,36,8
803,5,non_overlapping,52.25352079053429,8.00644982334133,14,14,8
803,5,overlapping,52.10959627292279,7.908277427314296,28,28,8
804,3,non_overlapping,52.9686645561477,11.549846995476932,24,24,8
804,3,overlapping,52.490231148873356,10.279989525889157,48,48,8
804,4,non_overlapping,51.1440936508661,3.3916126946049965,18,18,8
804,4,overlapping,52.00917048590074,7.395894846222438,36,36,8
804,5,non_overlapping,52.93122252687095,8.229184223169284,14,14,8
804,5,overlapping,52.93523209358404,7.747031248195258,28,28,8
805,3,non_overlapping,53.2946831001895,7.20190498336911,21,21,8
805,3,overlapping,52.574331016775666,5.95690412067706,41,41,8
805,4,non_overlapping,52.92049665034628,5.366801411095563,16,16,8
805,4,overlapping,53.01077334298219,5.447715212633377,31,31,8
805,5,non_overlapping,53.55431686424989,4.728982893440939,12,12,8
805,5,overlapping,53.18156376810282,4.37825435098992,24,24,8
806,3,non_overlapping,54.51355601684281,3.6067051084758206,21,21,8
806,3,overlapping,54.64512892062414,3.8579068684077056,41,41,8
806,4,non_overlapping,54.697476698633,3.1171056764117124,16,16,8
806,4,overlapping,54.97703134157195,3.1139772478861274,31,31,8
806,5,non_overlapping,54.779767653937476,2.366799474060443,12,12,8
806,5,overlapping,55.09697633222597,2.8357050775934347,24,24,8
901,3,non_overlapping,45.48265689930828,1.6085908961276754,21,21,9
901,3,overlapping,45.319543840357866,1.627911609626281,41,41,9
901,4,non_overlapping,45.414600307743726,1.6495312473981494,16,16,9
901,4,overlapping,45.526494050398945,1.740042501392679,31,31,9
901,5,non_overlapping,45.83729599454889,1.0418028002447994,12,12,9
901,5,overlapping,45.41651423081103,1.3475522734249703,24,24,9
902,3,non_overlapping,52.907685584835995,5.769334052814566,21,21,9
902,3,overlapping,53.509210631293485,6.939477108656519,41,41,9
902,4,non_overlapping,56.37159494100772,11.458752033632429,16,16,9
902,4,overlapping,55.33653717699744,9.229733804719588,31,31,9
902,5,non_overlapping,55.24817543263857,6.785969337182626,12,12,9
902,5,overlapping,54.97862873867579,6.406452909729314,24,24,9
903,3,non_overlapping,49.82281129856227,7.154980507295324,24,24,9
903,3,overlapping,49.45951375413267,6.003542913403577,48,48,9
903,4,non_overlapping,49.44659161764425,5.4290980427836235,18,18,9
903,4,overlapping,49.51599606106453,5.20478368094733,36,36,9
903,5,non_overlapping,49.413517360017416,3.664101266728439,14,14,9
903,5,overlapping,49.51866181348555,4.991815009465251,28,28,9
904,3,non_overlapping,50.845053919752466,13.269854280654444,28,28,9
904,3,overlapping,49.70328263500027,10.392822212652598,55,55,9
904,4,non_overlapping,51.55391362730105,13.745971313521636,21,21,9
904,4,overlapping,50.94234366593213,12.024731189832545,41,41,9
904,5,non_overlapping,50.75077275401829,9.09206001565017,17,17,9
904,5,overlapping,50.07647471657086,8.379550210035195,33,33,9
905,3,non_overlapping,52.6165397405999,19.335820551453374,21,21,9
905,3,overlapping,50.593377672589334,14.66093413229297,41,41,9
905,4,non_overlapping,51.724893845636885,12.320335726079534,16,16,9
905,4,overlapping,51.367549414088934,10.891759650629337,31,31,9
905,5,non_overlapping,50.925043604997164,8.079946054502784,12,12,9
905,5,overlapping,50.92077205467299,8.14828245462619,24,24,9
906,3,non_overlapping,49.20842907685013,3.879317492641815,21,21,9
906,3,overlapping,50.59436850836081,8.772976993202438,41,41,9
906,4,non_overlapping,51.512042515331984,8.868036618016582,16,16,9
906,4,overlapping,51.60996263712734,8.943389422796386,31,31,9
906,5,non_overlapping,52.28525879841669,9.502268548722792,12,12,9
906,5,overlapping,52.302503486714016,9.684116735661327,24,24,9
