subject,signal_length,signal_length_sec,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total
202,320,10.7,3,non_overlapping,82.32636928289104,1.1986962791711355,3,3
202,320,10.7,3,overlapping,82.78091473743649,2.209646527530719,6,6
202,320,10.7,4,non_overlapping,81.40739695087521,0.478543195934499,2,2
202,320,10.7,4,overlapping,82.67193675889328,1.5389081309911807,4,4
202,320,10.7,5,non_overlapping,83.20581592320724,1.3311688311688314,2,2
202,320,10.7,5,overlapping,82.7620929794843,1.2550380098982048,3,3
202,480,16.0,3,non_overlapping,79.54746992138297,6.494102623198061,5,5
202,480,16.0,3,overlapping,79.48804979239762,6.748784833815707,9,9
202,480,16.0,4,non_overlapping,78.64921129595044,6.6458207874905035,4,4
202,480,16.0,4,overlapping,78.82413480239568,6.786607951580265,7,7
202,480,16.0,5,non_overlapping,78.15247313073401,7.228685016045393,3,3
202,480,16.0,5,overlapping,79.60292123335603,5.874667846780585,5,5
202,1920,64.0,3,non_overlapping,78.66006888211858,5.374419795952663,21,21
202,1920,64.0,3,overlapping,78.51430992125584,5.240821931166527,41,41
202,1920,64.0,4,non_overlapping,79.04418927992297,4.7817947326773,16,16
202,1920,64.0,4,overlapping,78.71571166872711,4.98239260229737,31,31
202,1920,64.0,5,non_overlapping,78.46249764728026,4.828369058555937,12,12
202,1920,64.0,5,overlapping,78.38730420143465,4.705481258152947,24,24
203,160,5.3,3,non_overlapping,73.0,0.0,1,1
203,160,5.3,3,overlapping,73.25,0.25,2,2
203,160,5.3,4,non_overlapping,72.75,0.0,1,1
203,160,5.3,4,overlapping,72.75,0.0,1,1
203,160,5.3,5,non_overlapping,73.2,0.0,1,1
203,160,5.3,5,overlapping,73.2,0.0,1,1
203,320,10.7,3,non_overlapping,76.643704121965,3.826879882574843,3,3
203,320,10.7,3,overlapping,75.5202647593952,4.348876422180768,6,6
203,320,10.7,4,non_overlapping,76.06655844155844,3.316558441558442,2,2
203,320,10.7,4,overlapping,76.39536278938454,3.0526112662792086,4,4
203,320,10.7,5,non_overlapping,75.8793337097685,2.6793337097684926,2,2
203,320,10.7,5,overlapping,76.10050818746471,2.20991456502348,3,3
203,480,16.0,3,non_overlapping,77.67572186267839,6.579502104577688,5,5
203,480,16.0,3,overlapping,77.2469924064127,6.189193514504716,9,9
203,480,16.0,4,non_overlapping,76.40885156510157,5.788836039202506,4,4
203,480,16.0,4,overlapping,77.01883106541491,4.776773388394807,7,7
203,480,16.0,5,non_overlapping,76.73237631933284,2.4982492815968613,3,3
203,480,16.0,5,overlapping,77.59246608464,2.6540801262729823,5,5
203,1920,64.0,3,non_overlapping,72.60017362598215,6.035959416860566,21,21
